index,label,empty.cells,zeros,negative.values,characters,values.less.than.500,total,excluded
1,xylose,0,0,0,0,0,0,No
2,xylitol,0,0,0,0,0,0,No
3,xanthine,0,0,0,0,0,0,No
4,valine,0,0,0,0,0,0,No
5,uridine,0,0,0,0,0,0,No
6,uric acid,0,0,0,0,1,1,No
7,urea,0,0,0,0,0,0,No
8,uracil,0,0,0,0,0,0,No
9,UDP GlcNAc,0,0,0,0,3,3,No
10,tyrosine,0,0,0,0,0,0,No
11,tryptophan,0,0,0,0,0,0,No
12,tocopherol alpha-,0,0,0,0,0,0,No
13,thymine,0,0,0,0,1,1,No
14,threonine,0,0,0,0,0,0,No
15,threonic acid,0,0,0,0,0,0,No
16,terephthalic acid,0,0,0,0,0,0,No
17,taurine,0,0,0,0,0,0,No
18,tagatose,0,0,0,0,1,1,No
19,sucrose,0,0,0,0,7,7,No
20,succinic acid,0,0,0,0,0,0,No
21,succinate semialdehyde,0,0,0,0,0,0,No
22,squalene,0,0,0,0,0,0,No
23,sorbitol,0,0,0,0,0,0,No
24,shikimic acid,0,0,0,0,0,0,No
25,serine,0,0,0,0,0,0,No
26,ribose,0,0,0,0,1,1,No
27,ribonic acid,0,0,0,0,8,8,Yes
28,ribitol,0,0,0,0,0,0,No
29,pyruvic acid,0,0,0,0,0,0,No
30,pyrophosphate,0,0,0,0,0,0,No
31,pseudo uridine,0,0,0,0,0,0,No
32,proline,0,0,0,0,0,0,No
33,p-hydroxylphenyllactic acid,0,0,0,0,13,13,Yes
34,phosphoethanolamine,0,0,0,0,0,0,No
35,phosphate,0,0,0,0,0,0,No
36,phenylalanine,0,0,0,0,0,0,No
37,pentadecanoic acid,0,0,0,0,0,0,No
38,pantothenic acid,0,0,0,0,0,0,No
39,palmitoleic acid,0,0,0,0,0,0,No
40,oxoproline,0,0,0,0,0,0,No
41,oxalic acid,0,0,0,0,1,1,No
42,ornithine,0,0,0,0,0,0,No
43,oleic acid,0,0,0,0,0,0,No
44,noradrenaline,0,0,0,0,0,0,No
45,nonadecanoic acid,0,0,0,0,0,0,No
46,nicotinamide,0,0,0,0,0,0,No
47,N-acetylputrescine,0,0,0,0,0,0,No
48,n-acetyl-d-hexosamine,0,0,0,0,16,16,Yes
49,N-acetylaspartic acid,0,0,0,0,0,0,No
50,myristic acid,0,0,0,0,0,0,No
51,myo-inositol,0,0,0,0,0,0,No
52,methionine sulfoxide,0,0,0,0,0,0,No
53,methionine,0,0,0,0,0,0,No
54,methanolphosphate,0,0,0,0,0,0,No
55,melibiose,0,0,0,0,16,16,Yes
56,mannose,0,0,0,0,0,0,No
57,maltotriose,0,0,0,0,6,6,No
58,maltose,0,0,0,0,0,0,No
59,malic acid,0,0,0,0,0,0,No
60,lyxose,0,0,0,0,0,0,No
61,lyxitol,0,0,0,0,0,0,No
62,lysine,0,0,0,0,0,0,No
63,linoleic acid,0,0,0,0,0,0,No
64,levoglucosan,0,0,0,0,0,0,No
65,leucine,0,0,0,0,0,0,No
66,lauric acid,0,0,0,0,0,0,No
67,lactic acid,0,0,0,0,0,0,No
68,isothreonic acid,0,0,0,0,0,0,No
69,isoleucine,0,0,0,0,0,0,No
70,isohexonic acid,0,0,0,0,5,5,No
71,inositol-4-monophosphate,0,0,0,0,0,0,No
72,inosine-5'-monophosphate,0,0,0,0,0,0,No
73,inosine,0,0,0,0,0,0,No
74,indole-3-lactate,0,0,0,0,0,0,No
75,hypoxanthine,0,0,0,0,0,0,No
76,hydroxycarbamate NIST,0,0,0,0,0,0,No
77,homoserine,0,0,0,0,1,1,No
78,hexose-6-phosphate,0,0,0,0,1,1,No
79,hexitol,0,0,0,0,0,0,No
80,hexadecylglycerol NIST,0,0,0,0,0,0,No
81,heptadecanoic acid,0,0,0,0,0,0,No
82,guanosine,0,0,0,0,6,6,No
83,glycolic acid,0,0,0,0,0,0,No
84,glycine,0,0,0,0,0,0,No
85,glycerol-alpha-phosphate,0,0,0,0,0,0,No
86,glycerol-3-galactoside,0,0,0,0,0,0,No
87,glycerol,0,0,0,0,0,0,No
88,glyceric acid,0,0,0,0,1,1,No
89,glutathione,0,0,0,0,0,0,No
90,glutaric acid,0,0,0,0,16,16,Yes
91,glutamine,0,0,0,0,0,0,No
92,glutamate,0,0,0,0,0,0,No
93,glucose-6-phosphate,0,0,0,0,3,3,No
94,glucose-1-phosphate,0,0,0,0,0,0,No
95,glucose,0,0,0,0,0,0,No
96,galactonic acid,0,0,0,0,0,0,No
97,galactitol,0,0,0,0,10,10,Yes
98,fumaric acid,0,0,0,0,0,0,No
99,fucose,0,0,0,0,0,0,No
100,fructose-6-phosphate,0,0,0,0,2,2,No
101,fructose,0,0,0,0,1,1,No
102,ethanol phosphate NIST,0,0,0,0,0,0,No
103,erythronic acid lactone,0,0,0,0,0,0,No
104,erythritol,0,0,0,0,0,0,No
105,docosahexaenoic acid,0,0,0,0,0,0,No
106,dihydrocholesterol,0,0,0,0,0,0,No
107,dehydroascorbic acid,0,0,0,0,0,0,No
108,cysteine-glycine,0,0,0,0,16,16,Yes
109,cysteine,0,0,0,0,0,0,No
110,creatinine,0,0,0,0,0,0,No
111,conduritol-beta-epoxide,0,0,0,0,8,8,Yes
112,citrulline,0,0,0,0,0,0,No
113,citric acid,0,0,0,0,0,0,No
114,cis-gondoic acid,0,0,0,0,0,0,No
115,cholesterol,0,0,0,0,0,0,No
116,capric acid,0,0,0,0,0,0,No
117,beta-sitosterol,0,0,0,0,0,0,No
118,beta-gentiobiose,0,0,0,0,0,0,No
119,beta-alanine,0,0,0,0,0,0,No
120,benzoic acid,0,0,0,0,0,0,No
121,behenic acid,0,0,0,0,0,0,No
122,aspartic acid,0,0,0,0,0,0,No
123,ascorbic acid,0,0,0,0,0,0,No
124,arachidonic acid,0,0,0,0,0,0,No
125,arachidic acid,0,0,0,0,1,1,No
126,aminomalonate,0,0,0,0,0,0,No
127,alpha-ketoglutarate,0,0,0,0,2,2,No
128,alanine,0,0,0,0,0,0,No
129,adipic acid,0,0,0,0,0,0,No
130,adenosine-5-monophosphate,0,0,0,0,4,4,No
131,adenosine,0,0,0,0,0,0,No
132,adenine,0,0,0,0,0,0,No
133,5-methoxytryptamine,0,0,0,0,0,0,No
134,5'-deoxy-5'-methylthioadenosine,0,0,0,0,0,0,No
135,4-hydroxybutyric acid,0,0,0,0,0,0,No
136,3-hydroxybutyric acid,0,0,0,0,0,0,No
137,"3,6-anhydro-D-galactose",0,0,0,0,3,3,No
138,2-picolinic acid,0,0,0,0,1,1,No
139,2-monopalmitin,0,0,0,0,0,0,No
140,2-monoolein,0,0,0,0,0,0,No
141,2-ketoisocaproic acid,0,0,0,0,0,0,No
142,2-hydroxyglutaric acid,0,0,0,0,0,0,No
143,"2,5-dihydroxypyrazine NIST",0,0,0,0,0,0,No
144,1-monostearin,0,0,0,0,0,0,No
145,1-monopalmitin,0,0,0,0,0,0,No
146,1-kestose,0,0,0,0,13,13,Yes
147,"1,5-anhydroglucitol",0,0,0,0,0,0,No
148,"1,2,4-benzenetriol",0,0,0,0,10,10,Yes
